Sheet,State_Territory,Total_Transactions,Unprocessed_Transactions,Z_Total_Nonmatches,Total_Matches,X_Single_Match_Alive,Y_Single_Match_Deceased,V_Multiple_Match_Alive,T_Multiple_Match_Deceased,W_Multiple_Match_Mixed,PercentNonMatch,PercentMatchDeceased,Year,Date,DayOfYear,ISOyear,ISOweek
totals-since-2011,Alabama,1456410,40,199172,1257198,1149456,107451,234,5,52,13.676,8.547,NA,NA,NA,NA,NA
totals-since-2011,Alaska,53746,0,17384,36362,32409,3947,2,0,4,32.345,10.855,NA,NA,NA,NA,NA
totals-since-2011,Arizona,5586351,133,1891543,3694675,3677904,16285,440,0,46,33.86,0.441,NA,NA,NA,NA,NA
totals-since-2011,Arkansas,3039233,0,590262,2448971,2348195,100424,283,0,69,19.421,4.101,NA,NA,NA,NA,NA
totals-since-2011,California,9000280,36,6732272,2267972,2250857,16829,254,1,31,74.801,0.742,NA,NA,NA,NA,NA
totals-since-2011,Colorado,620364,0,233883,386481,385331,1082,59,0,9,37.701,0.28,NA,NA,NA,NA,NA
totals-since-2011,Connecticut,222424,3,54895,167526,167480,25,19,0,2,24.68,0.015,NA,NA,NA,NA,NA
totals-since-2011,Delaware,4855,0,705,4150,3506,644,0,0,0,14.521,15.518,NA,NA,NA,NA,NA
totals-since-2011,District Of Columbia,1502,0,150,1352,1350,2,0,0,0,9.987,0.148,NA,NA,NA,NA,NA
totals-since-2011,Florida,1254104,0,402354,851750,851327,315,96,0,12,32.083,0.037,NA,NA,NA,NA,NA
totals-since-2011,Georgia,1560044,0,611205,948839,946900,1785,146,0,8,39.179,0.188,NA,NA,NA,NA,NA
totals-since-2011,Hawaii,24167,0,3505,20662,20655,6,1,0,0,14.503,0.029,NA,NA,NA,NA,NA
totals-since-2011,Idaho,566496,4,151848,414644,393237,21314,78,0,15,26.805,5.14,NA,NA,NA,NA,NA
totals-since-2011,Illinois,8261017,38,1364499,6896480,6842112,53441,799,1,127,16.517,0.775,NA,NA,NA,NA,NA
totals-since-2011,Indiana,2969341,48,332677,2636616,2622869,13244,394,1,108,11.204,0.502,NA,NA,NA,NA,NA
totals-since-2011,Iowa,401579,7,105416,296156,288722,7394,33,1,6,26.25,2.497,NA,NA,NA,NA,NA
totals-since-2011,Kansas,2217138,0,575424,1641714,1453183,188513,18,0,0,25.953,11.483,NA,NA,NA,NA,NA
totals-since-2011,Kentucky,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
totals-since-2011,Louisiana,235058,4,44557,190497,190411,60,24,0,2,18.956,0.031,NA,NA,NA,NA,NA
totals-since-2011,Maine,9642,0,2003,7639,7620,19,0,0,0,20.774,0.249,NA,NA,NA,NA,NA
totals-since-2011,Maryland,490759,261,266756,223742,223019,439,49,0,235,54.356,0.196,NA,NA,NA,NA,NA
totals-since-2011,Massachusetts,320329,4,87623,232702,232650,34,18,0,0,27.354,0.015,NA,NA,NA,NA,NA
totals-since-2011,Michigan,93047,0,24884,68163,68007,152,4,0,0,26.743,0.223,NA,NA,NA,NA,NA
totals-since-2011,Minnesota,789045,0,102396,686649,686414,154,73,0,8,12.977,0.022,NA,NA,NA,NA,NA
totals-since-2011,Mississippi,16212,0,3849,12363,10828,1529,3,0,3,23.742,12.368,NA,NA,NA,NA,NA
totals-since-2011,Missouri,4649854,25,727821,3922008,3808190,113098,468,9,243,15.653,2.884,NA,NA,NA,NA,NA
totals-since-2011,Montana,466489,1,136810,329678,327599,2018,45,2,14,29.328,0.613,NA,NA,NA,NA,NA
totals-since-2011,Nebraska,85266,0,24710,60556,59687,864,3,0,2,28.98,1.427,NA,NA,NA,NA,NA
totals-since-2011,Nevada,929929,0,635785,294144,290880,3088,141,2,33,68.369,1.051,NA,NA,NA,NA,NA
totals-since-2011,New Hampshire,957,0,153,804,722,82,0,0,0,15.987,10.199,NA,NA,NA,NA,NA
totals-since-2011,New Jersey,1827673,21,504829,1322823,1302163,20532,106,2,20,27.621,1.552,NA,NA,NA,NA,NA
totals-since-2011,New Mexico,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
totals-since-2011,New York,3217512,24,1536547,1680941,1679205,1218,431,0,87,47.756,0.072,NA,NA,NA,NA,NA
totals-since-2011,North Carolina,1766165,8,477673,1288484,1287880,436,138,0,30,27.046,0.034,NA,NA,NA,NA,NA
totals-since-2011,North Dakota,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
totals-since-2011,Ohio,847568,10,270205,577353,577164,121,64,0,4,31.88,0.021,NA,NA,NA,NA,NA
totals-since-2011,Oklahoma,21,0,10,11,11,0,0,0,0,47.619,0,NA,NA,NA,NA,NA
totals-since-2011,Oregon,717559,2,216675,500882,485845,14935,42,5,55,30.196,2.983,NA,NA,NA,NA,NA
totals-since-2011,Pennsylvania,5988442,13,625277,5363152,5359757,2611,586,0,198,10.441,0.049,NA,NA,NA,NA,NA
totals-since-2011,Rhode Island,335235,6,26006,309223,308410,760,49,0,4,7.758,0.246,NA,NA,NA,NA,NA
totals-since-2011,South Carolina,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
totals-since-2011,South Dakota,147677,0,25057,122620,122404,206,10,0,0,16.967,0.168,NA,NA,NA,NA,NA
totals-since-2011,Tennessee,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
totals-since-2011,Texas,25271818,65,6781599,18490154,18082232,405468,442,0,2012,26.835,2.193,NA,NA,NA,NA,NA
totals-since-2011,Utah,257763,0,72446,185317,184175,1093,44,0,5,28.106,0.59,NA,NA,NA,NA,NA
totals-since-2011,Vermont,62150,3,11964,50183,49974,206,3,0,0,19.25,0.41,NA,NA,NA,NA,NA
totals-since-2011,Virginia,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
totals-since-2011,Washington,379079,0,90900,288179,287972,179,28,0,0,23.979,0.062,NA,NA,NA,NA,NA
totals-since-2011,West Virginia,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
totals-since-2011,Wisconsin,260535,0,38819,221716,221270,427,17,0,2,14.9,0.193,NA,NA,NA,NA,NA
totals-since-2011,Wyoming,601612,0,163466,438146,437158,928,36,0,24,27.171,0.212,NA,NA,NA,NA,NA
totals-since-2011,Total,87006447,756,26166014,60839677,59727140,1103358,5680,29,3470,30.074,1.814,NA,NA,NA,NA,NA
totals-2024,Alabama,36224,0,8616,27608,20849,6756,2,0,1,23.785,24.471,2024,NA,NA,NA,NA
totals-2024,Alaska,2665,0,767,1898,1655,243,0,0,0,28.78,12.803,2024,NA,NA,NA,NA
totals-2024,Arizona,1018404,0,150616,867788,866925,759,87,0,17,14.789,0.087,2024,NA,NA,NA,NA
totals-2024,Arkansas,6141,0,1073,5068,5054,14,0,0,0,17.473,0.276,2024,NA,NA,NA,NA
totals-2024,California,136178,0,60299,75879,75182,693,4,0,0,44.28,0.913,2024,NA,NA,NA,NA
totals-2024,Colorado,27551,0,10002,17549,17544,0,5,0,0,36.304,0,2024,NA,NA,NA,NA
totals-2024,Connecticut,3433,0,899,2534,2534,0,0,0,0,26.187,0,2024,NA,NA,NA,NA
totals-2024,Delaware,0,0,0,0,0,0,0,0,0,NA,NA,2024,NA,NA,NA,NA
totals-2024,District Of Columbia,0,0,0,0,0,0,0,0,0,NA,NA,2024,NA,NA,NA,NA
totals-2024,Florida,31982,0,10253,21729,21710,18,1,0,0,32.059,0.083,2024,NA,NA,NA,NA
totals-2024,Georgia,209184,0,92415,116769,116719,50,0,0,0,44.179,0.043,2024,NA,NA,NA,NA
totals-2024,Hawaii,0,0,0,0,0,0,0,0,0,NA,NA,2024,NA,NA,NA,NA
totals-2024,Idaho,3929,0,1214,2715,2711,4,0,0,0,30.898,0.147,2024,NA,NA,NA,NA
totals-2024,Illinois,293497,0,35759,257738,255541,2174,17,0,6,12.184,0.843,2024,NA,NA,NA,NA
